"","Province","Autocor_ECI.Gov","nGov","ndiffGov","pvalorGov","Autocor_ECI.dep","nDep","ndiffDep","pvalorDep"
"La Rioja","La Rioja",0.264118394565676,9,0,0.428153603295023,0.285717278519301,19,0,0.212980071377847
"Misiones","Misiones",0.140209743957517,9,1,0.674025844630713,-0.341670681249469,18,2,0.14717402083744
"Santiago del Estero","Santiago del Estero",-0.755383359743201,9,1,0.0234421959297468,-0.239677607591257,13,1,0.387494562629683
"Formosa","Formosa",0.0510433647670844,9,1,0.878295683924718,-0.810801533991631,19,1,0.000409008439645975
"San Luis","San Luis",0.527967826414869,8,0,0.135353829660413,0.216288837880403,18,0,0.358809556362486
"San Juan","San Juan",-0.183002324769868,8,1,0.604731283071004,-0.330895296846114,8,1,0.34931786329284
"Neuquén","Neuquén",-0.454653421209742,9,1,0.172580072246461,-0.183649064864262,9,1,0.581669873739059
"Santa Cruz","Santa Cruz",-0.18950281370048,10,0,0.548999174458267,0.0999759807862258,14,0,0.708347872780508
"Salta","Salta",-0.0401530317396908,10,0,0.898960157572239,-0.823016889578831,16,2,0.000994537177368526
"Córdoba","Córdoba",0.0757930571936502,9,0,0.820128914824465,0.151927196110004,10,1,0.630917416592254
"Capital Federal","Capital Federal",0.146569433354231,7,0,0.698174206622388,-0.297189934780866,12,1,0.303246595958516
"Buenos Aires","Buenos Aires",-0.409345426357465,9,1,0.219433349392616,-0.322503456608631,19,1,0.159795410564462
"Tucumán","Tucumán",-0.31274419300071,10,0,0.322670982257318,0.110667173530962,10,2,0.726368468996076
"Entre Ríos","Entre Ríos",0.174646340126412,9,1,0.600320953772013,0.26541181074132,9,1,0.42589520667214
"Jujuy","Jujuy",-0.254460992798332,9,1,0.445235028263351,-0.094576980666699,19,1,0.68015509238073
"Chubut","Chubut",0.107290177167164,9,1,0.747550778596154,-0.0492381317164854,9,1,0.882568170582126
"La Pampa","La Pampa",-0.074338134040889,10,0,0.814148332993141,-0.44503893127846,10,0,0.159327580473398
"Chaco","Chaco",-0.207885098730752,9,1,0.532853987411826,-0.135934476633125,19,1,0.553499321548678
"Mendoza","Mendoza",-0.227011264744326,10,0,0.472835812273114,-0.287028570247017,19,1,0.210887587523161
"Catamarca","Catamarca",-0.0235250834591068,9,1,0.943735808620793,-0.000767446077518331,19,1,0.997330905670159
"Corrientes","Corrientes",-0.33960214071892,9,0,0.308294876219861,-0.586306085666718,18,2,0.0128649497400228
"Santa Fe","Santa Fe",-0.12186385312346,10,0,0.699965276216779,0.0390119696191848,9,1,0.906831597851651
"Río Negro","Río Negro",0.126172984145543,10,0,0.689897618587035,-0.119056530794409,9,1,0.720964848324093
"Tierra del Fuego","Tierra del Fuego",-0.258796046188908,8,0,0.464177261313589,-0.546038820972162,6,2,0.181054102927584
