"","UF","Autocor_ECI.Gov","nGov","ndiffGov","pvalorGov","Autocor_ECI.dep","nDep","ndiffDep","pvalorDep"
"AC","AC",0.0222633646757996,10,0,0.94387295067508,-0.73039805136885,9,1,0.0284377454678595
"AL","AL",-0.272902183319635,10,0,0.388141602812427,-0.099463322233788,10,0,0.753118047572388
"AM","AM",-0.412016125922109,10,0,0.19260569757225,-0.28890864422424,9,1,0.38609219302415
"BA","BA",-0.553083428519289,10,0,0.0802904368469424,-0.324010217047805,9,1,0.331035300202667
"CE","CE",-0.5887663986853,10,0,0.0626252474524709,-0.51878405919863,9,1,0.11962437033067
"ES","ES",-0.0151589541395901,10,0,0.961766593376495,0.0570670731257042,10,0,0.856789938777002
"GO","GO",0.266717866230442,10,0,0.398984673148256,-0.192032241257458,9,1,0.564549805803639
"MA","MA",-0.209788253623065,10,0,0.50706883044552,0.0299812378864212,9,1,0.928331943427494
"MG","MG",0.180646620291784,10,0,0.567826955381459,0.111600145576629,10,0,0.724155428446661
"MS","MS",-0.239073957292586,9,1,0.473237205700702,-0.149953726242324,10,0,0.635360631417841
"MT","MT",0.0865537344330973,10,0,0.784309843394078,-0.518439314083431,9,1,0.119870366257934
"PA","PA",0.0497082818683074,10,0,0.875094014300922,-0.129267108972367,10,0,0.682702226017901
"PB","PB",-0.175128088001284,10,0,0.579713236664118,0.49515699846103,10,0,0.117389846000561
"PE","PE",-0.040807739434621,10,0,0.897321722929555,0.0604362124994971,10,0,0.848434646172839
"PI","PI",-0.447981573734296,9,1,0.17896626304916,-0.0764763711531833,10,0,0.808904515099569
"PR","PR",0.308458092984588,10,0,0.329346940867783,-0.00223868055109395,10,0,0.994351559475554
"RJ","RJ",-0.407556968601686,10,0,0.197464740822029,-0.026849501614602,10,0,0.932336456292544
"RN","RN",0.0366411710394478,10,0,0.907755923445057,-0.550667187039144,9,1,0.0985342326056144
"RO","RO",-0.0687897526004052,10,0,0.827793539480926,-0.159733292467711,10,0,0.613473836860223
"RS","RS",-0.250795292053999,10,0,0.42772868060456,0.0463175132453097,10,0,0.883551288730196
"SC","SC",-0.423464129395594,10,0,0.180534489132474,-0.548786094853883,10,0,0.0826675006950015
"SE","SE",-0.275469544935907,10,0,0.383693445893647,0.145753852353964,10,0,0.644860198565669
"SP","SP",-0.214714957093144,10,0,0.497145267608807,-0.10830228487394,10,0,0.731988266065455
"TO","TO",0.381542779839914,9,0,0.252363147682564,-0.0960507307887912,9,0,0.773230242308405
"AP","AP",-0.446545483287768,8,0,0.206581504417123,-0.262187734747611,8,0,0.45834251106495
"DF","DF",-0.523709667985664,7,1,0.165867385444445,0.0789159781861692,8,0,0.823373553309368
"RR","RR",-0.407223633362595,8,0,0.24940229359846,0.0814291293217547,8,0,0.817845950319228
