"";"Province";"Coeficiente";"P-valor";"Resultado"
"1";"Buenos Aires";0,903030303030303;0,000880224994754143;"Rejeita"
"2";"Capital Federal";0,464285714285714;0,302380952380952;"Não rejeita"
"3";"Catamarca";0,696969696969697;0,0311410954595681;"Rejeita"
"4";"Chaco";0,6;0,0731198750392827;"Não rejeita"
"5";"Chubut";0,587878787878788;0,0802150639781516;"Não rejeita"
"6";"Corrientes";0,316666666666667;0,410080467372134;"Não rejeita"
"7";"Córdoba";0,483333333333333;0,193799603174603;"Não rejeita"
"8";"Entre Ríos";0,757575757575757;0,0159208292880929;"Rejeita"
"9";"Formosa";0,951515151515151;0;"Rejeita"
"10";"Jujuy";0,672727272727273;0,0393814092829061;"Rejeita"
"11";"La Pampa";0,866666666666667;0,00268141517103888;"Rejeita"
"12";"La Rioja";0,183333333333333;0,643639770723104;"Não rejeita"
"13";"Mendoza";0,187878787878788;0,607566897460635;"Não rejeita"
"14";"Misiones";0,818181818181818;0,0068111327718268;"Rejeita"
"15";"Neuquén";0,672727272727273;0,0393814092829061;"Rejeita"
"16";"Río Negro";0,490909090909091;0,154442672733181;"Não rejeita"
"17";"Salta";0,490909090909091;0,154442672733181;"Não rejeita"
"18";"San Juan";0,9;0,00202821869488536;"Rejeita"
"19";"San Luis";0,904761904761905;0,00456349206349206;"Rejeita"
"20";"Santa Cruz";0,648484848484848;0,0490426316833765;"Rejeita"
"21";"Santa Fe";-0,381818181818182;0,278965216116317;"Não rejeita"
"22";"Santiago del Estero";0,709090909090909;0,0275141191111856;"Rejeita"
"23";"Tierra del Fuego";0;1;"Não rejeita"
"24";"Tucumán";0,43030303030303;0,218028474590315;"Não rejeita"
