"";"Province";"Coeficiente";"P-valor";"Resultado";"Coef_det"
"1";"Buenos Aires";0,963636363636364;0;"Rejeita";0,928595041322314
"2";"Capital Federal";0,428571428571428;0,353571428571429;"Não rejeita";0,183673469387755
"3";"Catamarca";0,881818181818182;0,000668290061888927;"Rejeita";0,777603305785124
"4";"Chaco";0,551515151515151;0,10429776397167;"Não rejeita";0,30416896235078
"5";"Chubut";0,612121212121212;0,0664691374895167;"Não rejeita";0,374692378328742
"6";"Corrientes";0,616666666666667;0,0857253086419753;"Não rejeita";0,380277777777778
"7";"Córdoba";0,418181818181818;0,232418098250503;"Não rejeita";0,174876033057851
"8";"Entre Ríos";0,587878787878788;0,0802150639781516;"Não rejeita";0,345601469237833
"9";"Formosa";0,975757575757576;0;"Rejeita";0,952102846648301
"10";"Jujuy";0,878787878787879;0,0019770587107552;"Rejeita";0,772268135904499
"11";"La Pampa";0,915151515151515;0,000466722165549449;"Rejeita";0,837502295684114
"12";"La Rioja";0,987878787878788;0;"Rejeita";0,975904499540863
"13";"Mendoza";0,284848484848485;0,427359698875701;"Não rejeita";0,0811386593204775
"14";"Misiones";0,818181818181818;0,0068111327718268;"Rejeita";0,669421487603306
"15";"Neuquén";0,624242424242424;0,0602489828244726;"Não rejeita";0,389678604224059
"16";"Río Negro";0,733333333333333;0,0211664810722656;"Rejeita";0,537777777777778
"17";"Salta";0,83030303030303;0,00555680454585398;"Rejeita";0,689403122130395
"18";"San Juan";0,951515151515151;0;"Rejeita";0,905381083562901
"19";"San Luis";0,987878787878788;0;"Rejeita";0,975904499540863
"20";"Santa Cruz";0,987878787878788;0;"Rejeita";0,975904499540863
"21";"Santa Fe";0,781818181818182;0,0116512675298474;"Rejeita";0,611239669421487
"22";"Santiago del Estero";0,975757575757576;0;"Rejeita";0,952102846648301
"23";"Tierra del Fuego";0,523809523809524;0,196626984126984;"Não rejeita";0,27437641723356
"24";"Tucumán";0,866666666666667;0,00268141517103888;"Rejeita";0,751111111111111
